Stripe,fluo_bin,n_nuclei,n_time_points
-1,1,0,0
1,1,43,2819
2,1,51,2655
3,1,44,2544
4,1,49,2730
1,2,46,2874
2,2,45,2602
3,2,44,2512
2,3,44,2596
3,3,47,2608
2,4,40,2652
