ectopicFlag,fluo_bin,n_nuclei,n_time_points
0,1,48,2549
1,1,0,0
0,2,46,2516
0,3,47,2534
0,4,44,2577
0,5,40,2503
0,6,42,2557
0,7,39,2520
0,8,39,2531
0,9,42,2527
0,10,42,2588
0,11,39,2544
0,12,38,2522
0,13,42,2632
