ectopicFlag,fluo_bin,n_nuclei,n_time_points
0,1,42,2377
0,2,47,2427
0,3,50,2404
0,4,39,2420
0,5,42,2409
0,6,42,2396
0,7,39,2394
0,8,39,2435
0,9,38,2372
0,10,35,2402
0,11,38,2503
