Stripe,fluo_bin,n_nuclei,n_time_points
1,1,51,2661
1.5,1,0,0
2,1,50,2491
3,1,40,2503
4,1,41,2282
1,2,41,2611
2,2,43,2527
3,2,39,2467
4,2,40,2373
1,3,38,2609
2,3,41,2558
3,3,42,2494
1,4,40,2720
2,4,39,2517
3,4,43,2542
2,5,42,2566
