Stripe,fluo_bin,n_nuclei,n_time_points
1,1,50,2625
2,1,53,2734
3,1,49,2584
4,1,40,2353
5,1,0,0
1,2,42,2585
2,2,47,2691
3,2,47,2636
4,2,43,2383
1,3,40,2724
2,3,42,2666
3,3,43,2659
4,3,41,2427
2,4,41,2781
